evaluation_family,canonical_model,anchor_margin_chunk_bind_rows,bind_eligible_fraction,bind_eligible_rows,completed_steps,effective_global_batch,fraction,global_step,gradient_accumulation_steps,layout_rows_per_group,num_train_epochs,per_device_train_batch_size,pure_lora_trainable_params,rows_per_sec_effective,runtime_hr,samples_per_sec,steps_per_sec,total_params,total_steps,train_groups,train_loss,train_rows,trainable_percent,world_size
GEM-like frac003 LoRA Training Efficiency,GL-SL-LoRA-3%,,,,137.0,256.0,,,,1.0,1.0,,8495104.0,,2.1826327777777776,4.489,0.017,7158175232.0,137.0,35270.0,0.2336934890842786,35270.0,0.1186769494273257,4.0
GEM-like frac003 LoRA Training Efficiency,GL-TL-LoRA-3%,,,,413.0,256.0,,,,3.0,1.0,,8495104.0,,2.722005222222222,10.798,0.042,7158175232.0,413.0,35270.0,0.2333143660866319,105810.0,0.1186769494273257,4.0
GEM-like frac005 LoRA Training Efficiency,GL-TL-LoRA-5%,,,,,256.0,0.05,688.0,8.0,3.0,1.0,8.0,8495104.0,10.683882886870713,4.585,10.684,0.042,7158175232.0,,58783.0,0.2322612596502484,176349.0,0.1186769494273257,4.0
GEM-like frac005 LoRA Training Efficiency,TM-TL-LoRA-5%,4.0,0.2171886429750097,38301.0,,256.0,0.05,688.0,8.0,3.0,1.0,8.0,8495104.0,4.921255997157214,9.954,4.921,0.019,7158175232.0,,58783.0,0.2443768854664508,176349.0,0.1186769494273257,4.0
