canonical_model,ADI,Acc,Acc_12R1C,Acc_3R4C,Acc_6R2C,BalAcc_12R1C,BalAcc_3R4C,BalAcc_6R2C,CDI,DCC,DCE,DI,Layout Agreement,MacroF1_12R1C,MacroF1_3R4C,MacroF1_6R2C,Oracle Acc,Oracle_Acc,Worst Acc,Worst_Acc,accuracy,balanced_accuracy,code15_test_f1,consistent_correct,cpsc_test_f1,csn_test_acc,ecgqa_test_acc,g12_test_acc,groups_valid,macro_f1,mean,parse_rate,parse_success,ptb_test_f1,worst_layout_accuracy
Reproduced GEM,0.003025302530253,0.8697286395306197,,,,,,,0.0198019801980198,0.8597359735973598,0.1174367436743674,0.0228272827282728,,,,,0.8795379537953796,,0.8693619361936193,,,,,,,,,,,,,1.0,,,
PULSE image-only,0.0295748613678373,0.805924447892398,,,,,,,0.1016635859519408,0.7467652495378928,0.121996303142329,0.1312384473197781,,,,,0.8484288354898336,,0.7911275415896488,,,,,,,,,,,,,0.1487898789878987,,,
L1_SingleLayout_clean1008,0.0033076074972436,0.8578249671213488,,,,,,,0.0228776185226019,0.8461962513781698,0.1276185226019845,0.0261852260198456,,,,,0.8690738699007717,,0.8569459757442117,,,,,,,,,,,,,0.9977997799779978,,,
L3Subset_TripletLayoutTraining_clean1008,0.0019251925192519,0.7787862119545288,,,,,,,0.003025302530253,0.7769526952695269,0.2180968096809681,0.0049504950495049,,,,,0.7799779977997799,,0.7786028602860287,,,,,,,,,,,,,1.0,,,
