evaluation_family,canonical_model,adapter,adapter_scale,ADI,Acc,Accuracy_12R1C,Accuracy_3R4C,Accuracy_6R2C,CDI,DCC,DCE,DI,Oracle Acc,Worst Acc,Worst_Acc,accuracy,balanced_accuracy,f1,macro_f1,oracle,parse_rate,rows,valid_groups
Adapter scale sweep: ECGBench-L3 Choice,PTBXLCore4_LoRA_LegacyLayoutBind_replay20,layoutbind,0.75,,0.7602829878249425,,,,,,,,,,,,,,,,,,
Adapter scale sweep: ECGBench-L3 Choice,PTBXLCore4_LoRA_LegacyLayoutBind_replay20,layoutbind,1.0,0.0244774477447744,0.7599009900990099,,,,0.0797579757975797,0.7186468646864687,0.1771177117711771,0.1042354235423542,0.7984048404840484,0.7475247524752475,,,,,,,1.0,,
Adapter scale sweep: ECGBench-L3 Choice,PTBXLCore4_LoRA_SFT_replay20,sft,1.0,0.0253025302530253,0.7651265126512651,,,,0.0852585258525852,0.7211221122112211,0.1683168316831683,0.1105610561056105,0.8063806380638063,0.7535753575357536,,,,,,,1.0,,
Adapter scale sweep: Official ECG-Bench Broad,PTBXLCore4_LoRA_LegacyLayoutBind_replay20,layoutbind,1.0,,,,,,,,,,,,,0.7920546244568591,,0.694241103660196,,,,,
Adapter scale sweep: Official ECG-Bench Broad,PTBXLCore4_LoRA_SFT_replay20,sft,1.0,,,,,,,,,,,,,0.8013656114214773,,0.6974591695777621,,,,,
Adapter scale sweep: PTB-XL Core4 fold10,PTBXLCore4_LoRA_LegacyLayoutBind_replay20,layoutbind,1.0,0.0033218346748434,,0.8860355180784464,0.8898684042417273,0.8888463012648524,0.0541714577743707,0.8602274179123547,0.082279289638431,0.0574932924492142,,,0.8860355180784464,0.888250074528342,0.7958313243147195,,0.8256650670801721,0.9143988756867254,1.0,23481.0,7827.0
Adapter scale sweep: PTB-XL Core4 fold10,PTBXLCore4_LoRA_SFT_replay20,sft,1.0,0.0029385460585153,,0.8860355180784464,0.8901239299859461,0.8888463012648524,0.0542992206464801,0.860355180784464,0.0824070525105404,0.0572377667049954,,,0.8860355180784464,0.888335249776415,0.7950382240349311,,0.8250053526360037,0.914654401430944,1.0,23481.0,7827.0
