Model,Accuracy,Consistent Correct,Inconsistency,Consistent Error,Correctable Inconsistency,Always-wrong Inconsistency,Oracle Acc,Worst Acc
L1_SameGroup_LoRA_SFT_frac001,0.8341584158415842,0.7970297029702971,0.0863586358635863,0.1166116611661166,0.0706820682068206,0.0156765676567656,0.8677117711771177,0.8305830583058306
L3_LoRA_SFT_frac001,0.8326916024935826,0.7956545654565457,0.0869086908690869,0.1174367436743674,0.0709570957095709,0.0159515951595159,0.8666116611661167,0.83003300330033
TRACE-ECG_L3_frac001,0.8337917125045838,0.7978547854785478,0.0847084708470847,0.1174367436743674,0.0679317931793179,0.0167766776677667,0.8657865786578658,0.83003300330033
L1_SameGroup_LoRA_SFT_frac003,0.8331499816648331,0.7953795379537953,0.0871837183718371,0.1174367436743674,0.0715071507150715,0.0156765676567656,0.8668866886688669,0.83003300330033
L3_LoRA_SFT_frac003,0.8333333333333334,0.7973047304730473,0.0836083608360836,0.119086908690869,0.0682068206820682,0.0154015401540154,0.8655115511551155,0.8303080308030804
L1_SameGroup_LoRA_SFT_frac005,0.8327832783278328,0.7953795379537953,0.0866336633663366,0.1179867986798679,0.0706820682068206,0.0159515951595159,0.8660616061606161,0.8292079207920792
L3_LoRA_SFT_frac005,0.833058305830583,0.7981298129812981,0.0822332233223322,0.1196369636963696,0.0671067106710671,0.0151265126512651,0.8652365236523653,0.8305830583058306
TRACE-ECG_L3_frac005,0.8322332233223323,0.7967546754675467,0.0819581958195819,0.1212871287128712,0.0673817381738173,0.0145764576457645,0.8641364136413642,0.828932893289329
