canonical_model,ADI,Acc,Acc_12R1C,Acc_3R4C,Acc_6R2C,BalAcc_12R1C,BalAcc_3R4C,BalAcc_6R2C,CDI,DCC,DCE,DI,Layout Agreement,MacroF1_12R1C,MacroF1_3R4C,MacroF1_6R2C,Oracle Acc,Oracle_Acc,Worst Acc,Worst_Acc,accuracy,balanced_accuracy,code15_test_f1,consistent_correct,cpsc_test_f1,csn_test_acc,ecgqa_test_acc,g12_test_acc,groups_valid,macro_f1,mean,parse_rate,parse_success,ptb_test_f1,worst_layout_accuracy
Official GEM,,,,,,,,,,,0.202063235864787,0.0708656369469155,,,,,,,,,0.7629978545837043,0.7018296018040945,,0.7270711271882975,,,,,,0.6583932505181689,,,1.0,,0.7580224723754482
Reproduced GEM,,,,,,,,,,,0.2034669910223088,0.0164874395024704,,,,,,,,,0.7883225380113459,0.6755797107807633,,0.7800455694752207,,,,,,0.6668722528495225,,,1.0,,0.7847333718528936
PULSE image-only,,,,,,,,,,,0.1922835178075498,0.1125578747579741,,,,,,,,,0.7479547865463765,0.6817633389717136,,0.6913134694053882,,,,,,0.6402455449794289,,,0.9938779428997158,,0.7357623612551348
L1_SingleLayout_clean1008,,,,,,,,,,,0.2423373981322887,0.0195188881556782,,,,,,,,,0.7480046182267017,0.6847862573787824,,0.7381437137120331,,,,,,0.6410418318827543,,,1.0,,0.745334067333786
L3Subset_TripletLayoutTraining_clean1008,,,,,,,,,,,0.2339258436328287,0.0072212192751006,,,,,,,,,0.762532981530343,0.6400024747291825,,0.7588529370920706,,,,,,0.6195033946835653,,,1.0,,0.7612831551173448
